product,period,rank,keyword
stadia,before,1,gaming
stadia,before,2,internet
stadia,before,3,video
stadia,before,4,play
stadia,before,5,future
stadia,before,6,game
stadia,before,7,google stadia
stadia,before,8,console
stadia,before,9,games
stadia,before,10,austin
stadia,before,11,future gaming
stadia,before,12,don
stadia,before,13,buy
stadia,before,14,sponsored
stadia,before,15,streaming
stadia,after,1,games
stadia,after,2,video
stadia,after,3,game
stadia,after,4,play
stadia,after,5,gaming
stadia,after,6,remember
stadia,after,7,controller
stadia,after,8,didn
stadia,after,9,internet
stadia,after,10,did
stadia,after,11,console
stadia,after,12,service
stadia,after,13,fail
stadia,after,14,cloud
stadia,after,15,thought
google_glass,before,1,google glass
google_glass,before,2,apple
google_glass,before,3,vision
google_glass,before,4,pro
google_glass,before,5,glasses
google_glass,before,6,vision pro
google_glass,before,7,video
google_glass,before,8,watching
google_glass,before,9,apple vision
google_glass,before,10,ahead
google_glass,before,11,cool
google_glass,before,12,wait
google_glass,before,13,ahead time
google_glass,before,14,future
google_glass,before,15,need
google_glass,after,1,apple
google_glass,after,2,google glass
google_glass,after,3,glasses
google_glass,after,4,video
google_glass,after,5,vision
google_glass,after,6,tech
google_glass,after,7,camera
google_glass,after,8,pro
google_glass,after,9,vision pro
google_glass,after,10,remember
google_glass,after,11,product
google_glass,after,12,use
google_glass,after,13,actually
google_glass,after,14,cool
google_glass,after,15,privacy
google_plus,before,1,youtube
google_plus,before,2,video
google_plus,before,3,facebook
google_plus,before,4,love
google_plus,before,5,song
google_plus,before,6,don
google_plus,before,7,use
google_plus,before,8,comments
google_plus,before,9,awesome
google_plus,before,10,thanks
google_plus,before,11,google plus
google_plus,before,12,friends
google_plus,before,13,comment
google_plus,before,14,did
google_plus,before,15,videos
google_plus,after,1,remember
google_plus,after,2,google plus
google_plus,after,3,used
google_plus,after,4,use
google_plus,after,5,youtube
google_plus,after,6,don
google_plus,after,7,social
google_plus,after,8,miss
google_plus,after,9,video
google_plus,after,10,friends
google_plus,after,11,facebook
google_plus,after,12,media
google_plus,after,13,social media
google_plus,after,14,didn
google_plus,after,15,app
